episode,reward,actions
150,-1957,"Counter({6: 95, 0: 77, 1: 8, 4: 7, 5: 6, 3: 4, 2: 3})"
151,-2255,"Counter({6: 106, 0: 71, 5: 10, 2: 6, 3: 3, 1: 2, 4: 2})"
152,-1932,"Counter({6: 104, 0: 80, 2: 5, 1: 5, 5: 3, 3: 2, 4: 1})"
153,-1818,"Counter({6: 96, 0: 82, 3: 6, 4: 6, 1: 4, 2: 4, 5: 2})"
154,-2070,"Counter({6: 105, 0: 76, 1: 5, 3: 4, 4: 4, 5: 3, 2: 3})"
155,-2139,"Counter({6: 103, 0: 75, 4: 8, 5: 4, 3: 4, 2: 3, 1: 3})"
156,-1962,"Counter({6: 100, 0: 76, 2: 7, 1: 5, 3: 5, 4: 4, 5: 3})"
157,-1783,"Counter({6: 94, 0: 81, 4: 7, 2: 7, 1: 6, 3: 4, 5: 1})"
158,-1985,"Counter({6: 93, 0: 75, 4: 9, 3: 7, 5: 6, 1: 5, 2: 5})"
159,-1783,"Counter({6: 95, 0: 81, 1: 9, 2: 5, 5: 5, 3: 3, 4: 2})"
160,-1836,"Counter({6: 96, 0: 78, 3: 9, 1: 7, 4: 5, 2: 4, 5: 1})"
161,-2074,"Counter({6: 101, 0: 74, 3: 7, 1: 6, 5: 5, 4: 5, 2: 2})"
162,-1924,"Counter({6: 99, 0: 80, 2: 6, 4: 5, 5: 4, 1: 3, 3: 3})"
163,-1825,"Counter({6: 92, 0: 81, 5: 8, 3: 7, 2: 6, 4: 4, 1: 2})"
164,-1945,"Counter({6: 98, 0: 81, 5: 8, 2: 5, 4: 4, 1: 3, 3: 1})"
165,-1867,"Counter({6: 99, 0: 83, 3: 4, 5: 4, 1: 4, 4: 4, 2: 2})"
166,-1883,"Counter({6: 97, 0: 79, 3: 8, 1: 4, 4: 4, 5: 4, 2: 4})"
167,-2129,"Counter({6: 103, 0: 77, 4: 9, 5: 4, 2: 4, 3: 2, 1: 1})"
168,-1741,"Counter({6: 100, 0: 85, 2: 6, 1: 4, 3: 3, 4: 2})"
169,-2056,"Counter({6: 98, 0: 74, 3: 11, 4: 8, 5: 4, 2: 4, 1: 1})"
170,-2029,"Counter({6: 99, 0: 77, 5: 8, 3: 6, 1: 4, 4: 4, 2: 2})"
171,-1887,"Counter({6: 97, 0: 77, 2: 9, 3: 7, 4: 4, 5: 3, 1: 3})"
172,-1952,"Counter({6: 102, 0: 80, 1: 5, 5: 5, 3: 4, 2: 2, 4: 2})"
173,-1942,"Counter({6: 98, 0: 74, 2: 11, 1: 6, 3: 4, 5: 4, 4: 3})"
174,-423,"Counter({0: 66, 6: 42, 3: 2, 2: 1})"
175,280,Counter({0: 30})
176,227,"Counter({0: 30, 6: 2, 1: 1})"
177,280,Counter({0: 30})
178,277,"Counter({0: 30, 2: 1})"
179,255,"Counter({0: 30, 6: 1})"
180,280,Counter({0: 30})
181,280,Counter({0: 30})
182,280,Counter({0: 30})
183,255,"Counter({0: 30, 6: 1})"
184,280,Counter({0: 30})
185,280,Counter({0: 30})
186,219,"Counter({0: 30, 1: 2, 6: 2, 3: 1})"
187,280,Counter({0: 30})
188,255,"Counter({0: 30, 6: 1})"
189,280,Counter({0: 30})
190,280,Counter({0: 30})
191,277,"Counter({0: 30, 1: 1})"
192,280,Counter({0: 30})
193,280,Counter({0: 30})
194,280,Counter({0: 30})
195,280,Counter({0: 30})
196,255,"Counter({0: 30, 6: 1})"
197,257,"Counter({0: 30, 5: 1})"
198,280,Counter({0: 30})
199,280,Counter({0: 30})
200,257,"Counter({0: 30, 4: 1})"
201,156,"Counter({0: 30, 4: 2, 6: 2, 5: 1, 3: 1})"
202,275,"Counter({0: 30, 3: 1})"
203,280,Counter({0: 30})
204,280,Counter({0: 30})
205,280,Counter({0: 30})
206,280,Counter({0: 30})
207,280,Counter({0: 30})
208,280,Counter({0: 30})
